Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
ASUSTEK COMPUTER INC	Aktien	0,15	14,07	172000	2420787	2420786,72	IT	TW0002357001	Taiwan Stock Exchange	Taiwan	0.00146938773914694
Volksrepublik China FEIHE LTD	Aktien	0,14	2,75	865000	2380831	2380831,14	Nichtzyklische Konsumgüter	KYG2121Q1055	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00144513519394027
SUNAC Volksrepublik China HOLDINGS LTD	Aktien	0,14	3,72	639000	2376628	2376628,4	Immobilien	KYG8569A1067	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00144258418249601
HUAZHU GROUP ADR REPRESENTING LTD	Aktien	0,14	57,44	40765	2341542	2341541,6	Zyklische Konsumgüter 	US44332N1063	NASDAQ	Volksrepublik China	0.00142128692681464
TAIWAN CEMENT CORP	Aktien	0,14	1,87	1242300	2326791	2326790,69	Materialien	TW0001101004	Taiwan Stock Exchange	Taiwan	0.0014123333060284
GREAT WALL MOTOR LTD H	Aktien	0,14	2,99	775464	2319339	2319339,01	Zyklische Konsumgüter 	CNE100000338	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0014078102279986
COUNTRY GARDEN HOLDINGS LTD	Aktien	0,14	1,21	1912220	2314824	2314824,42	Immobilien	KYG245241032	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00140506992744322
SILERGY CORP	Aktien	0,14	121,8	19000	2314147	2314146,52	IT	KYG8190F1028	Taiwan Stock Exchange	Taiwan	0.00140465845048817
TATA STEEL LTD	Aktien	0,14	15,35	150527	2310701	2310700,92	Materialien	INE081A01012	National Stock Exchange Of India	Indien	0.00140256701370352
MAHINDRA AND MAHINDRA LTD	Aktien	0,14	11,02	205781	2267907	2267907,1	Zyklische Konsumgüter 	INE101A01026	National Stock Exchange Of India	Indien	0.0013765916917556
PETROVolksrepublik China LTD H	Aktien	0,14	0,44	5201319	2266443	2266442,98	Energie	CNE1000003W8	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00137570298893892
KINGDEE INT L SOFTWARE GROUP LTD	Aktien	0,14	3,65	617000	2255033	2255032,65	IT	KYG525681477	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00136877705909012
Volksrepublik China OVERSEAS LAND INVESTMENT LTD	Aktien	0,14	2,37	946257	2244613	2244613,32	Immobilien	HK0688002218	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00136245265404211
ULTRATECH CEMENT LTD	Aktien	0,14	91,28	24543	2240382	2240382,36	Materialien	INE481G01011	National Stock Exchange Of India	Indien	0.00135988451340524
AIRPORTS OF THAILAND NON-VOTING DR	Aktien	0,13	2,05	1093900	2238516	2238516,39	Industrie	TH0765010R16	Stock Exchange Of Thailand	Thailand	0.00135875189258534
Volksrepublik China PACIFIC INSURANCE (GROUP) LT	Aktien	0,13	3,49	640580	2233856	2233856,4	Financials	CNE1000009Q7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00135592333601983
TECH MAHINDRA LTD	Aktien	0,13	13,96	159569	2227655	2227654,82	IT	INE669C01036	National Stock Exchange Of India	Indien	0.00135215905330131
LARSEN AND TOUBRO SPONSORED GDR RE	Aktien	0,13	20,8	105368	2191654	2191654,4	Industrie	USY5217N1183	London Stock Exchange	Indien	0.0013303072415266
