	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
702	EFG INTL.	CH0022268228	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.0004130569
703	TESSENDERLO CHEMIE	BE0003555639	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Materials	0.0004121774
704	CENTRAL ASIA METALS	GB00B67KBV28	Vereinigtes Königreich	GBP	-	Equity	-	-	Materials	0.0004110858
705	DIOS FASTIGHETER AB	SE0001634262	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0004095931
706	CMC MARKETS	GB00B14SKR37	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0004055073
707	BK GEORGIA GRP RG	GB00BF4HYT85	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0004015193
708	WERELDHAVE	NL0000289213	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Real Estate	0.000400279
709	XVIVO PERFUSION	SE0004840718	Schweden	SEK	-	Equity	-	-	Health Care	0.0003993826
710	BW LPG	BMG173841013	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0003993826
711	NAGARRO N	DE000A3H2200	Deutschland	EUR	-	Equity	-	-	Information Technology	0.0003979551
712	ELIOR PARTICIPATIONS	FR0011950732	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0003976056
713	UK COMMERCIAL PROPERTY TR.	GB00B19Z2J52	Guernsey	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0003953281
714	IDEAGEN RG	GB00B0CM0C50	Vereinigtes Königreich	GBP	-	Equity	-	-	Information Technology	0.0003942928
715	PROTECTOR FORSIKRING	NO0010209331	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Financials	0.0003932187
716	MERCIALYS	FR0010241638	Frankreich	EUR	Euronext Paris	Equity	Baa2	CAC 40 Index	Real Estate	0.0003887723
717	AGFA GEVAERT NV	BE0003755692	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Health Care	0.000386589
718	CAMURUS AB	SE0007692850	Schweden	SEK	-	Equity	-	-	Health Care	0.0003865836
719	EURASIA MINING RG	GB0003230421	Vereinigtes Königreich	GBP	-	Equity	-	-	Materials	0.0003862114
720	PZ CUSSONS	GB00B19Z1432	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Staples	0.0003857449
721	STO AG VZ.	DE0007274136	Deutschland	EUR	XETRA	Equity	-	DAX Index	Materials	0.0003844347
722	FJORDKRAFT HOLDING	NO0010815673	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Utilities	0.0003824384
723	LISI - LINK SOLUTIONS FOR INDUSTRY	FR0000050353	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0003807482
724	MCPHY ENERGY	FR0011742329	Frankreich	EUR	-	Equity	-	-	Industrials	0.0003780264
725	EMPIRIC STUDENT PROPERTY	GB00BLWDVR75	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.000377335
726	GLOBAL DOMINION ACCESS S.A.	ES0105130001	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Information Technology	0.0003756481
727	WESTWING GR.	DE000A2N4H07	Deutschland	EUR	-	Equity	-	-	Consumer Discretionary	0.0003731474
728	SKISTAR-B RG	SE0012141687	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0003696631
729	CELLAVISION AB	SE0000683484	Schweden	SEK	-	Equity	-	-	Health Care	0.0003679872
730	NIFLISK HLDG.	DK0060907293	Dänemark	DKK	-	Equity	-	-	Industrials	0.0003671754
731	TOMTOM	NL0013332471	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Consumer Discretionary	0.000367049
732	KNOW IT AB	SE0000421273	Schweden	SEK	-	Equity	-	-	Information Technology	0.0003661921
733	BUFAB HLDG.	SE0005677135	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.000366064
734	PLATZER FASTIGHETER HLDG. (B)	SE0004977692	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0003659713
735	PORTUCEL-EMPR.PROD.DE PAS.	PTPTI0AM0006	Portugal	EUR	Euronext Lisbon	Equity	-	-	Materials	0.000363052
736	ID LOGISTICS GROUP	FR0010929125	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0003616551
