	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
206	VARTA	DE000A0TGJ55	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.001594093
207	BANCA GENERALI	IT0001031084	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.00157806
208	SBM OFFSHORE	NL0000360618	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Energy	0.0015733006
209	ALSTRIA OFFICE REIT	DE000A0LD2U1	Deutschland	EUR	XETRA	Equity	-	DAX Index	Real Estate	0.0015732891
210	RWS HLDGS RG	GB00BVFCZV34	Vereinigtes Königreich	GBP	-	Equity	-	-	Industrials	0.0015726189
211	FINTECH GR.	DE000FTG1111	Deutschland	EUR	-	Equity	-	DAX Index	Financials	0.0015704488
212	ALLREAL N	CH0008837566	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Real Estate	0.0015693898
213	BAVARIAN NORDIC	DK0015998017	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Health Care	0.0015678404
214	MAPFRE	ES0124244E34	Spanien	EUR	Mercado Continuo Espana	Equity	Baa1	IBEX 35 Index	Financials	0.0015673992
215	DKSH HLDG.	CH0126673539	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0015653826
216	GREAT PORT EST	GB00BF5H9P87	Vereinigtes Königreich	GBP	-	Equity	-	-	Real Estate	0.0015619847
217	BOSKALIS WESTMINSTER	NL0000852580	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0015608496
218	STILLFRONT GRP RG	SE0015346135	Schweden	SEK	-	Equity	-	-	Communication Services	0.0015562741
219	AZIMUT HLDG.	IT0003261697	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0015545724
220	ASSURA	GB00BVGBWW93	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.001551219
221	D'IETEREN	BE0974259880	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Consumer Discretionary	0.0015501643
222	KOJAMO	FI4000312251	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Real Estate	0.0015437706
223	SHOP APOTHEKE EUROPE	NL0012044747	Niederlande	EUR	-	Equity	-	-	Consumer Discretionary	0.0015434539
224	VITROLIFE RG	SE0011205202	Schweden	SEK	-	Equity	-	-	Health Care	0.0015389918
225	WALLENSTAM	SE0007074844	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0015380645
226	EASYJET	GB00B7KR2P84	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0015374929
227	BEFESA	LU1704650164	Luxemburg	EUR	-	Equity	-	-	Industrials	0.0015362848
228	PRIMARY HEALTH PROP.	GB00BYRJ5J14	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0015357317
229	LONDON & STAM PTY	GB00B4WFW713	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	B1	FTSE 100 Index	Real Estate	0.0015354341
230	SFS GROUP	CH0239229302	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0015353243
231	GRAINGER	GB00B04V1276	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Ba2	FTSE 100 Index	Real Estate	0.0015353045
232	DRAX GROUP	GB00B1VNSX38	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Utilities	0.0015340497
233	JUNGHEINRICH	DE0006219934	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.001532729
234	TOPDANMARK	DK0060477503	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Financials	0.0015155617
235	RINGKJOEBING LANDBOBANK	DK0060854669	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	-	Financials	0.0015040808
236	BREEDON GRP RG	JE00B2419D89	Jersey	GBP	-	Equity	-	-	Materials	0.0014990318
237	M-REAL CORPORATION	FI0009000665	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Materials	0.0014969813
238	QINETIQ GROUP	GB00B0WMWD03	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	B1	FTSE 100 Index	Industrials	0.0014955849
239	KEYWORDS STUDIOS	GB00BBQ38507	Irland	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0014876872
240	CARGOTEC CORPORATION	FI0009013429	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Industrials	0.0014811561
241	BEAZLEY	GB00BYQ0JC66	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0014779286
242	INTEGRAFIN HLDGS.	GB00BD45SH49	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0014719861
243	DORMAKABA	CH0011795959	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0014718935
244	BUZZI UNICEM	IT0001347308	Italien	EUR	Milan Stock Exchange	Equity	Ba1	FTSE Italia All-Share Index	Materials	0.0014704392
245	WOOD GROUP (JOHN)	GB00B5N0P849	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Energy	0.001469585
246	NETW INTL HLDGS RG	GB00BH3VJ782	Vereinigtes Königreich	GBP	-	Equity	-	-	Information Technology	0.0014676904
247	JM AB	SE0000806994	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0014676028
248	GB GR.	GB0006870611	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0014671783
249	SULZER	CH0038388911	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0014654674
250	BURFORD CAPITAL	GG00BMGYLN96	Guernsey	GBP	-	Equity	-	-	Financials	0.0014600211
251	YULE CATTO	GB0009887422	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.0014584161
252	INTERROLL N	CH0006372897	Schweiz	CHF	-	Equity	-	-	Industrials	0.0014581547
253	NEXANS	FR0000044448	Frankreich	EUR	Euronext Paris	Equity	Ba2	CAC 40 Index	Industrials	0.0014539483
254	SAVILLS	GB00B135BJ46	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0014426086
255	SERCO GROUP	GB0007973794	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	B1	FTSE 100 Index	Industrials	0.0014398892
256	NOLATO RG-B	SE0015962477	Schweden	SEK	-	Equity	-	-	Industrials	0.0014351849
257	SAAB B	SE0000112385	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.0014319065
258	BPER BANCA	IT0000066123	Italien	EUR	Milan Stock Exchange	Equity	Ba2	FTSE Italia All-Share Index	Financials	0.0014316047
259	DOMINO'S PIZZA UK & IRL	GB00BYN59130	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0014209227
260	ACERIAS Y FORJAS DE AZCOITIA	ES0105630315	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Discretionary	0.0014025537
261	TKH	NL0000852523	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0013992889
262	MICRONIC LASER SYSTEMS	SE0000375115	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Information Technology	0.001398759
263	AIB GR.	IE00BF0L3536	Irland	EUR	-	Equity	-	-	Financials	0.0013974695
264	OSRAM LICHT	DE000LED4000	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.001394102
265	EUTELSAT COMMUNICATIONS	FR0010221234	Frankreich	EUR	Euronext Paris	Equity	Baa2	CAC 40 Index	Communication Services	0.0013936786
266	STROER OUT-OF-HOME	DE0007493991	Deutschland	EUR	XETRA	Equity	-	DAX Index	Communication Services	0.0013931252
267	MOBIMO HOLDING	CH0011108872	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Real Estate	0.0013899389
268	BCA POP. SONDRIO	IT0000784196	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0013870777
269	DUNELM GR.	GB00B1CKQ739	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0013804258
270	BIC	FR0000120966	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.001374909
271	ACERINOX	ES0132105018	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Materials	0.0013732678
272	MARSHALLS	GB00B012BV22	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.0013682062
273	SUBSEA 7 S.A.	LU0075646355	Vereinigtes Königreich	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0013679355
274	ADO PROPERTIES	LU1250154413	Deutschland	EUR	XETRA	Equity	-	DAX Index	Real Estate	0.001362957
275	DAETWYLER HLDG.	CH0030486770	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0013616287
276	SPIRENT COMMUNICATIONS	GB0004726096	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0013600916
277	CERVED INFORM. SOLUTIONS SPA	IT0005010423	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.001354759
278	LANCASHIRE HLDGS.	BMG5361W1047	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa2	FTSE 100 Index	Financials	0.0013522886
279	MICRO FOCUS INTL RG	GB00BJ1F4N75	Vereinigtes Königreich	GBP	-	Equity	-	-	Information Technology	0.001352095
280	K+S	DE000KSAG888	Deutschland	EUR	XETRA	Equity	Ba1	DAX Index	Materials	0.0013505828
281	INTRUM JUSTITIA	SE0000936478	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.0013473552
282	ASHMORE GROUP	GB00B132NW22	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.001345997
283	CANCOM IT SYS.	DE0005419105	Deutschland	EUR	XETRA	Equity	B1	DAX Index	Information Technology	0.0013444454
284	OC OERLIKON	CH0000816824	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0013420946
285	JCDECAUX	FR0000077919	Frankreich	EUR	Euronext Paris	Equity	Baa2	CAC 40 Index	Communication Services	0.0013409618
286	BORREGAARD	NO0010657505	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Materials	0.0013406798
287	DURR	DE0005565204	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0013351545
288	ULTRA ELECTRONICS HLDGS.	GB0009123323	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0013298106
289	TP ICAP GRP RG	JE00BMDZN391	Jersey	GBP	-	Equity	-	-	Financials	0.0013286233
290	HUFVUDSTADEN	SE0000170375	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0013281929
291	CVS GROUP	GB00B2863827	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0013269873
292	AIXTRON	DE000A0WMPJ6	Deutschland	EUR	XETRA	Equity	-	DAX Index	Information Technology	0.0013243159
293	STADLER RAIL	CH0002178181	Schweiz	CHF	-	Equity	-	-	Industrials	0.0013230384
294	KUNGSLEDEN	SE0000549412	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Real Estate	0.001317944
295	EMMI	CH0012829898	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Consumer Staples	0.0013152943
296	IMMOFINANZ	AT0000A21KS2	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Real Estate	0.0013117765
297	MONEYSUPERMARKET.COM	GB00B1ZBKY84	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0013078378
298	NEXITY	FR0010112524	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Real Estate	0.0013063775
299	NYFOSA	SE0011426428	Schweden	SEK	-	Equity	-	-	Real Estate	0.0013061865
300	BASIC-FIT	NL0011872650	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Consumer Discretionary	0.0013039167
301	PIRELLI & C SPA	IT0005278236	Italien	EUR	-	Equity	-	-	Consumer Discretionary	0.0013009329
302	CENTAMIN	JE00B5TT1872	Jersey	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.0012926282
303	SOFTWARE	DE000A2GS401	Deutschland	EUR	XETRA	Equity	-	DAX Index	Information Technology	0.0012874867
304	NKT HLDG.	DK0010287663	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Industrials	0.001286288
305	BKW AG	CH0130293662	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Utilities	0.0012814668
306	NATIONAL EXPRESS GROUP	GB0006215205	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa3	FTSE 100 Index	Industrials	0.00127956
307	FORTNOX RG	SE0001966656	Schweden	SEK	-	Equity	-	FTSE 100 Index	Information Technology	0.0012764835
308	VONTOBEL	CH0012335540	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.001270695
309	DLY MG NON VTG-A RG	GB00BJQZC279	Vereinigtes Königreich	GBP	-	Equity	-	-	Communication Services	0.0012567836
310	GAZTRANSPORT ET TECHNIGAZ	FR0011726835	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Energy	0.0012529345
311	BURE EQUITY	SE0000195810	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Financials	0.0012529111
312	MELEXIS	BE0165385973	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Information Technology	0.0012490582
313	SOFTWAREONE HOLDING	CH0496451508	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Information Technology	0.001246701
314	VALIANT HLDG	CH0014786500	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.001241684
315	IRIDE	IT0003027817	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Utilities	0.0012343102
316	KONGSBERG GRUPP	NO0003043309	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Industrials	0.0012322037
317	BODYCOTE	GB00B3FLWH99	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0012242304
318	BREMBO	IT0005252728	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Consumer Discretionary	0.0011989208
319	ASCENTIAL	GB00BYM8GJ06	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Communication Services	0.0011980947
320	HYPOPORT	DE0005493365	Deutschland	EUR	XETRA	Equity	-	DAX Index	Financials	0.0011901367
321	COMPUGROUP MEDICAL	DE000A288904	Deutschland	EUR	-	Equity	-	-	Health Care	0.0011836898
322	PLASTIC OMNIUM	FR0000124570	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0011836898
323	INTERTRUST	NL0010937058	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0011814327
324	STABILUS	LU1066226637	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0011670808
325	S4 CAP RG	GB00BFZZM640	Vereinigtes Königreich	GBP	-	Equity	-	-	Communication Services	0.0011670556
326	BARCO RG	BE0974362940	Belgien	EUR	-	Equity	-	-	Information Technology	0.0011644477
327	HAMMERSON REIT RG	GB00BK7YQK64	Vereinigtes Königreich	GBP	-	Equity	-	-	Real Estate	0.0011599749
328	AUTOSTRADA	IT0000084027	Italien	EUR	Milan Stock Exchange	Equity	B1	FTSE Italia All-Share Index	Industrials	0.0011579393
329	LENZING	AT0000644505	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Materials	0.001149059
330	FLSMIDTH & CO.	DK0010234467	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Industrials	0.0011478786
331	ARJO (B)	SE0010468116	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Health Care	0.0011435619
332	AL NOOR HOSPITALS	GB00B8HX8Z88	Vereinigte Arabische Emirate	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0011419814
333	DFDS	DK0060655629	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Industrials	0.0011418851
334	SIXT ST.	DE0007231326	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0011290959
335	AKER A	NO0010234552	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Financials	0.0011266003
336	MIPS	SE0009216278	Schweden	SEK	-	Equity	-	-	Consumer Discretionary	0.0011241606
337	CPTL & COUNT PROP	GB00B62G9D36	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0011233999
338	INFICON	CH0011029946	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Information Technology	0.0011218061
339	888 HLDGS.	GI000A0F6407	Gibraltar	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0011203031
340	PLAYTECH	IM00B7S9G985	Isle of Man	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0011146119
341	PARAGON GROUP OF COMPANIES	GB00B2NGPM57	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0011142809
342	SPAREBANKEN MIDT-NORGE	NO0006390301	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Financials	0.001112692
343	ENCAVIS	DE0006095003	Deutschland	EUR	XETRA	Equity	-	DAX Index	Utilities	0.0010995886
344	JACKPOTJOY	GB00BZ14BX56	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.001095557
345	POLYPIPE	GB00BKRC5K31	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0010933416
346	ERG	IT0001157020	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Utilities	0.0010834687
347	NEW CARPHONE WAREHOUSE	GB00B4Y7R145	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0010833273
348	SHAFTESBURY	GB0007990962	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0010808914
349	FERREXPO	GB00B1XH2C03	Schweiz	GBP	London Stock Exchange	Equity	B2	FTSE 100 Index	Materials	0.0010757663
350	ASTON MARTIN LAGONDA GL.	GB00BN7CG237	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Discretionary	0.001074154
351	PLUS500	IL0011284465	Israel	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0010647764
352	ALSO HLDG.	CH0024590272	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Information Technology	0.0010628634
353	ITM POWER	GB00B0130H42	Vereinigtes Königreich	GBP	-	Equity	-	-	Industrials	0.0010559443
354	TRIGANO	FR0005691656	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0010559179
355	ST MODWEN PROPERTIES	GB0007291015	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0010439461
356	TGS NOPEC GEOPHYSICAL CO.	NO0003078800	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0010375728
357	WORKSPACE GROUP	GB00B67G5X01	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.001033671
358	OUTOKUMPU	FI0009002422	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Materials	0.0010325787
359	AAREAL BANK	DE0005408116	Deutschland	EUR	XETRA	Equity	-	DAX Index	Financials	0.0010315772
360	FORBO N	CH0003541510	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Consumer Discretionary	0.0010306294
361	CONZZETA	CH0244017502	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0010296722
362	SPORTS DIRECT INTL.	GB00B1QH8P22	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0010268019
363	TELENET GROUP	BE0003826436	Belgien	EUR	Euronext Brussels	Equity	B1	BEL 20 Index	Communication Services	0.0010225299
364	SAIPEM	IT0005252140	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Energy	0.0010219753
365	METRO WHOLESALE & FOOD SPECIALIST	DE000BFB0019	Deutschland	EUR	XETRA	Equity	-	DAX Index	Consumer Staples	0.001016855
366	IMERYS	FR0000120859	Frankreich	EUR	Euronext Paris	Equity	Baa2	CAC 40 Index	Materials	0.001016381
367	INSTALCO INTRESSENTER	SE0009664253	Schweden	SEK	-	Equity	-	-	Industrials	0.0010143752
368	ZOOPLUS	DE0005111702	Deutschland	EUR	XETRA	Equity	-	DAX Index	Consumer Discretionary	0.0010133434
369	JUPITER	GB00B53P2009	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.001009505
370	PANDOX	SE0007100359	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0010003222
371	IP GROUP	GB00B128J450	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0009821201
372	SIXT VZ.	DE0007231334	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0009729875
373	TROAX GRP	SE0012729366	Schweden	SEK	-	Equity	-	-	Industrials	0.0009724158
374	HILLL & SMITH HLDGS.	GB0004270301	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.0009712711
375	BRUNELLO CUCINELLI	IT0004764699	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Consumer Discretionary	0.000969029
376	NEOEN	FR0011675362	Frankreich	EUR	-	Equity	-	-	Utilities	0.0009649235
377	EURONAV	BE0003816338	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Energy	0.0009601669
378	RHI MAGNESITA NV	NL0012650360	Niederlande	GBP	-	Equity	-	-	Materials	0.0009600111
379	SYDBANK	DK0010311471	Dänemark	DKK	Copenhagen Stock Exchange	Equity	Baa1	OMX COPENHAGEN 20 Index	Financials	0.0009576911
380	SCHWEITER TECH.	CH0010754924	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0009499219
381	J D WETHERSPOON	GB0001638955	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0009480283
382	KBC ANCORA	BE0003867844	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Financials	0.0009402391
383	EBRO FOODS	ES0112501012	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Staples	0.0009380879
384	XIOR STUDENT HOUSING	BE0974288202	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Real Estate	0.0009365192
385	KAINOS GR.	GB00BZ0D6727	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0009352217
386	LIONTR. ASSET MANAGEMENT	GB0007388407	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0009351087
387	VESUVIUS	GB00B82YXW83	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0009229663
388	EUROMONEY INSTIT. INVESTOR	GB0006886666	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Communication Services	0.0009176841
389	LINDAB INTERNATIONAL	SE0001852419	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.0009175299
390	FILTRONA	GB00B0744359	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.000913789
391	BYGGHEMMA GROUP FIRST	SE0010948588	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0009136106
392	DERMAPHARM HLDG	DE000A2GS5D8	Deutschland	EUR	-	Equity	-	DAX Index	Health Care	0.0009111162
393	ENAV	IT0005176406	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.0009102601
394	C&C GROUP	IE00B010DT83	Irland	GBP	Irish Stock Exchange	Equity	-	ISEQ Irish Overall Index	Consumer Staples	0.0009092427
395	JUST RETIREMENT GROUP	GB00BCRX1J15	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.000908201
396	NORMA GRP	DE000A1H8BV3	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0009065703
397	AJ BELL	GB00BFZNLB60	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0009047782
398	COMET HLDG.	CH0360826991	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Information Technology	0.0009031547
399	CREST NICHOLSON	GB00B8VZXT93	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0009020262
400	IPSOS	FR0000073298	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Communication Services	0.000900202
401	CATALANA OCCIDENTE SA	ES0116920333	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Financials	0.0008987998
402	BFF BANKING GR.	IT0005244402	Italien	EUR	-	Equity	-	-	Financials	0.0008984434
403	AUSTEVOLL SEAFOOD	NO0010073489	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Consumer Staples	0.0008975234
404	INDIVIOR	GB00BRS65X63	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0008924865
405	TOKMANNI	FI4000197934	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Consumer Discretionary	0.0008892169
406	AIR FRANCE-KLM	FR0000031122	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0008882773
407	NORDEX	DE000A0D6554	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0008865838
408	METSO CORP.	FI4000440664	Finnland	EUR	-	Equity	-	OMX Helsinki Index	Industrials	0.0008833871
409	APPLUS SERVICES	ES0105022000	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Industrials	0.0008812707
410	ANIMA HLDG	IT0004998065	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0008790443
